"entrezGeneId","hugoGeneSymbol"
4853,"NOTCH2"
4854,"NOTCH3"
4855,"NOTCH4"
4869,"NPM1"
4893,"NRAS"
64324,"NSD1"
7468,"NSD2"
54904,"NSD3"
4913,"NTHL1"
4914,"NTRK1"
4915,"NTRK2"
4916,"NTRK3"
83540,"NUF2"
9688,"NUP93"
5058,"PAK1"
57144,"PAK5"
79728,"PALB2"
142,"PARP1"
5079,"PAX5"
55193,"PBRM1"
5133,"PDCD1"
80380,"PDCD1LG2"
5156,"PDGFRA"
5159,"PDGFRB"
5170,"PDPK1"
79605,"PGBD5"
5241,"PGR"
84295,"PHF6"
8929,"PHOX2B"
5288,"PIK3C2G"
5289,"PIK3C3"
5290,"PIK3CA"
5291,"PIK3CB"
5293,"PIK3CD"
5294,"PIK3CG"
5295,"PIK3R1"
5296,"PIK3R2"
8503,"PIK3R3"
5292,"PIM1"
5336,"PLCG2"
10769,"PLK2"
5366,"PMAIP1"
5378,"PMS1"
5395,"PMS2"
10957,"PNRC1"
5424,"POLD1"
5426,"POLE"
25913,"POT1"
5468,"PPARG"
8493,"PPM1D"
5518,"PPP2R1A"
151987,"PPP4R2"
5537,"PPP6C"
639,"PRDM1"
63978,"PRDM14"
80243,"PREX2"
5573,"PRKAR1A"
5584,"PRKCI"
5587,"PRKD1"
5071,"PRKN"
5727,"PTCH1"
5728,"PTEN"
7803,"PTP4A1"
5781,"PTPN11"
5789,"PTPRD"
5802,"PTPRS"
11122,"PTPRT"
11021,"RAB35"
5879,"RAC1"
5880,"RAC2"
5885,"RAD21"
10111,"RAD50"
5888,"RAD51"
5890,"RAD51B"
5889,"RAD51C"
5892,"RAD51D"
5893,"RAD52"
8438,"RAD54L"
5894,"RAF1"
5914,"RARA"
5921,"RASA1"
5925,"RB1"
8241,"RBM10"
5965,"RECQL"
9401,"RECQL4"
5966,"REL"
5978,"REST"
5979,"RET"
6009,"RHEB"
387,"RHOA"
253260,"RICTOR"
6016,"RIT1"
54894,"RNF43"
6098,"ROS1"
8986,"RPS6KA4"
6199,"RPS6KB2"
57521,"RPTOR"
64121,"RRAGC"
6237,"RRAS"
22800,"RRAS2"
51750,"RTEL1"
861,"RUNX1"
6256,"RXRA"
23429,"RYBP"
6447,"SCG5"
6389,"SDHA"
54949,"SDHAF2"
6390,"SDHB"
6391,"SDHC"
6392,"SDHD"
6317,"SERPINB3"
6318,"SERPINB4"
27244,"SESN1"
83667,"SESN2"
143686,"SESN3"
29072,"SETD2"
9869,"SETDB1"
23451,"SF3B1"
10019,"SH2B3"
4068,"SH2D1A"
8036,"SHOC2"
55164,"SHQ1"
91607,"SLFN11"
84464,"SLX4"
4087,"SMAD2"
4088,"SMAD3"
4089,"SMAD4"
6595,"SMARCA2"
6597,"SMARCA4"
6598,"SMARCB1"
6602,"SMARCD1"
6605,"SMARCE1"
6608,"SMO"
64754,"SMYD3"
8651,"SOCS1"
6654,"SOS1"
64321,"SOX17"
6657,"SOX2"
6662,"SOX9"
23013,"SPEN"
8405,"SPOP"
161742,"SPRED1"
83932,"SPRTN"
6714,"SRC"
6427,"SRSF2"
10735,"STAG2"
6774,"STAT3"
6776,"STAT5A"
6777,"STAT5B"
6794,"STK11"
8859,"STK19"
83931,"STK40"
51684,"SUFU"
23512,"SUZ12"
6850,"SYK"
6890,"TAP1"
6891,"TAP2"
6926,"TBX3"
6929,"TCF3"
6934,"TCF7L2"
7010,"TEK"
54855,"TENT5C"
7015,"TERT"
80312,"TET1"
54790,"TET2"
7046,"TGFBR1"
7048,"TGFBR2"
55654,"TMEM127"
7113,"TMPRSS2"
7128,"TNFAIP3"
8764,"TNFRSF14"
7150,"TOP1"
7157,"TP53"
7158,"TP53BP1"
8626,"TP63"
7186,"TRAF2"
84231,"TRAF7"
9319,"TRIP13"
7248,"TSC1"
7249,"TSC2"
7253,"TSHR"
7307,"U2AF1"
5976,"UPF1"
9101,"USP8"
7422,"VEGFA"
7428,"VHL"
79679,"VTCN1"
7490,"WT1"
25937,"WWTR1"
331,"XIAP"
7514,"XPO1"
7516,"XRCC2"
10413,"YAP1"
7525,"YES1"
463,"ZFHX3"
84133,"ZNRF3"
8233,"ZRSR2"
